Data1
1  0.0003
0.76514  0.024326
0.69535  0.026136
0.68402  0.026135
0.63788  0.026133
0.62626  0.026133
0.62593  0.026131
0.62593  0.026131
0.55623  0.024521
0.4869  0.02154
0.48665  0.021525
0.41735  0.017361
0.34779  0.012173
0.34777  0.012171
0.27823  0.0061429
0.20868  -0.00050287
0.20865  -0.00050518
0.13911  -0.0073567
0.13909  -0.0073586
0.069558  -0.013562
0.069541  -0.013562
0.017405  -0.012173
0.017389  -0.012172
7.4966e-07  -0.00015833
0.00000    0.000001
0.017388  0.017388
0.017405  0.017397
0.069541  0.043987
0.069557  0.043996
0.069559  0.043996
0.13911  0.065248
0.13912  0.065249
0.20865  0.079269
0.20867  0.079273
0.27821  0.088542
0.27823  0.088545
0.34777  0.094087
0.34779  0.094088
0.41732  0.096297
0.41734  0.096297
0.48688  0.095376
0.4869  0.095376
0.55644  0.091401
0.55646  0.0914
0.626  0.084345
0.62602  0.084343
0.69555  0.07436
0.69557  0.074357
0.69558  0.074356
0.76513  0.06167
0.76513  0.06167
0.83467  0.046481
0.83469  0.046477
0.90423  0.029077
0.90425  0.029071
0.99949  1.334e-05
0.99949  1.334e-05
1  -0.0004


